id_spp,especie,grupo,id_pto,classe,ordem,familia,lat,long,cat_anterior,cat_validada,sensivel,situacao,datum,precisao,referencia,metodologia,descricao,presenca_atual,ano,pais,estado,bioma,basedados,planil_orig,ilha
18,Corallus cropanii,Serpentes,1224,Reptilia,Squamata,Boidae,-24.275,-47.233,Criticamente em Perigo (CR),Em Perigo (EN),Não,Utilizado na avaliação,SAD 69,Desconhecida,,,,,,Brasil,São Paulo,Mata Atlântica,salve,sppameacadas_SE,
18,Corallus cropanii,Serpentes,1225,Reptilia,Squamata,Boidae,-24.28333333,-47.46666667,Criticamente em Perigo (CR),Em Perigo (EN),Não,Utilizado na avaliação,SIRGAS 2000,Desconhecida,,,,,,Brasil,São Paulo,Mata Atlântica,salve,sppameacadas_SE,
18,Corallus cropanii,Serpentes,1226,Reptilia,Squamata,Boidae,-24.5,-48.05,Criticamente em Perigo (CR),Em Perigo (EN),Não,Utilizado na avaliação,SIRGAS 2000,Desconhecida,,,,,2003,Brasil,São Paulo,Mata Atlântica,salve,sppameacadas_SE,
18,Corallus cropanii,Serpentes,1227,Reptilia,Squamata,Boidae,-24.31666667,-48.06666667,Criticamente em Perigo (CR),Em Perigo (EN),Não,Utilizado na avaliação,SIRGAS 2000,Aproximada,Unidade de Conservação,Mapa SALVE,,Desconhecido,2009,Brasil,São Paulo,Mata Atlântica,salve,sppameacadas_SE,
32,Glaucomastix littoralis,Lagartos,1308,Reptilia,Squamata,Teiidae,-22.962572,-42.8595,Vulnerável (VU),Em Perigo (EN),Não,Utilizado na avaliação,Não informado,Desconhecida,,,,,,Brasil,Rio de Janeiro,Mata Atlântica,salve,sppameacadas_SE,
32,Glaucomastix littoralis,Lagartos,1309,Reptilia,Squamata,Teiidae,-23.05030278,-43.65355556,Vulnerável (VU),Em Perigo (EN),Não,Utilizado na avaliação,Não informado,Desconhecida,,,,,,Brasil,Rio de Janeiro,Mata Atlântica,salve,sppameacadas_SE,
32,Glaucomastix littoralis,Lagartos,1310,Reptilia,Squamata,Teiidae,-22.28333333,-41.68333333,Vulnerável (VU),Em Perigo (EN),Não,Utilizado na avaliação,Não informado,Desconhecida,,,,,,Brasil,Rio de Janeiro,Mata Atlântica,salve,sppameacadas_SE,
32,Glaucomastix littoralis,Lagartos,1311,Reptilia,Squamata,Teiidae,-21.73333333,-41.03333333,Vulnerável (VU),Em Perigo (EN),Não,Utilizado na avaliação,Não informado,Desconhecida,,,,,,Brasil,Rio de Janeiro,Mata Atlântica,salve,sppameacadas_SE,
32,Glaucomastix littoralis,Lagartos,1312,Reptilia,Squamata,Teiidae,-22.26365556,-41.62839722,Vulnerável (VU),Em Perigo (EN),Não,Utilizado na avaliação,Não informado,Desconhecida,,,,,,Brasil,Rio de Janeiro,Mata Atlântica,salve,sppameacadas_SE,
32,Glaucomastix littoralis,Lagartos,1313,Reptilia,Squamata,Teiidae,-21.82212,-41.023824,Vulnerável (VU),Em Perigo (EN),Não,Utilizado na avaliação,Não informado,Desconhecida,,,,,,Brasil,Rio de Janeiro,Mata Atlântica,salve,sppameacadas_SE,
32,Glaucomastix littoralis,Lagartos,1314,Reptilia,Squamata,Teiidae,-22.962949,-42.879285,Vulnerável (VU),Em Perigo (EN),Não,Utilizado na avaliação,WGS 84,Exata,,,,Sim,2014,Brasil,Rio de Janeiro,Mata Atlântica,salve,sppameacadas_SE,
32,Glaucomastix littoralis,Lagartos,1315,Reptilia,Squamata,Teiidae,-21.73237,-41.028705,Vulnerável (VU),Em Perigo (EN),Não,Utilizado na avaliação,WGS 84,Exata,,,,Desconhecido,2014,Brasil,Rio de Janeiro,Mata Atlântica,salve,sppameacadas_SE,
